X   Y   Z   quatX   quatY   quatZ   W
-0.013751 0.435529 0.752637 0.0731449 0.534195 -0.506693 0.672717 
-0.0139513 0.435874 0.751492 0.0731471 0.534195 -0.506694 0.672716 
-0.0141515 0.436219 0.750347 0.0731492 0.534195 -0.506695 0.672715 
-0.0143517 0.436564 0.749201 0.0731513 0.534195 -0.506696 0.672714 
-0.014552 0.436909 0.748056 0.0731534 0.534195 -0.506697 0.672713 
-0.0147522 0.437254 0.746911 0.0731555 0.534195 -0.506698 0.672712 
-0.0149524 0.437599 0.745766 0.0731576 0.534195 -0.506699 0.672711 
-0.0151526 0.437943 0.744621 0.0731597 0.534195 -0.5067 0.67271 
-0.0153529 0.438288 0.743475 0.0731618 0.534195 -0.5067 0.672709 
-0.0155531 0.438634 0.74233 0.0731639 0.534195 -0.506701 0.672708 
-0.0157532 0.438979 0.741185 0.073166 0.534195 -0.506702 0.672708 
-0.0159534 0.439324 0.74004 0.0731681 0.534195 -0.506703 0.672707 
-0.0161536 0.439669 0.738895 0.0731702 0.534195 -0.506704 0.672706 
-0.0163538 0.440014 0.73775 0.0731723 0.534195 -0.506705 0.672705 
-0.016554 0.440359 0.736604 0.0731743 0.534195 -0.506706 0.672704 
-0.0167541 0.440704 0.735459 0.0731764 0.534195 -0.506707 0.672703 
-0.0169543 0.441049 0.734314 0.0731785 0.534195 -0.506708 0.672702 
-0.0171544 0.441394 0.733169 0.0731806 0.534195 -0.506708 0.672701 
-0.0173546 0.441739 0.732024 0.0731827 0.534195 -0.506709 0.6727 
-0.0175547 0.442084 0.730878 0.0731848 0.534195 -0.50671 0.672699 
-0.0177549 0.442429 0.729733 0.0731869 0.534195 -0.506711 0.672698 
-0.017955 0.442774 0.728588 0.073189 0.534195 -0.506712 0.672697 
-0.0181551 0.44312 0.727443 0.0731911 0.534195 -0.506713 0.672697 
-0.0183552 0.443465 0.726298 0.0731931 0.534195 -0.506714 0.672696 
