lbr_1_joint lbr_2_joint lbr_3_joint lbr_4_joint lbr_5_joint lbr_6_joint lbr_7_joint 
2.48097 -0.440809 1.93595 -1.22804 1.40593 -2.01835 0.630912 
2.48154 -0.44231 1.93523 -1.23012 1.40851 -2.01905 0.633469 
2.48211 -0.44382 1.93451 -1.23219 1.41109 -2.01974 0.636024 
2.48266 -0.44534 1.9338 -1.23425 1.41369 -2.02041 0.638578 
2.48321 -0.44687 1.93309 -1.2363 1.4163 -2.02108 0.641129 
2.48374 -0.44841 1.93239 -1.23834 1.41892 -2.02173 0.643678 
2.48426 -0.449959 1.9317 -1.24036 1.42155 -2.02237 0.646226 
2.48476 -0.451519 1.93102 -1.24238 1.42419 -2.023 0.648771 
2.48526 -0.453088 1.93034 -1.24438 1.42683 -2.02362 0.651313 
2.48574 -0.454666 1.92967 -1.24637 1.42949 -2.02423 0.653854 
2.48622 -0.456255 1.929 -1.24835 1.43216 -2.02482 0.656392 
2.48668 -0.457853 1.92834 -1.25032 1.43484 -2.02541 0.658928 
2.48713 -0.45946 1.92769 -1.25228 1.43752 -2.02598 0.661461 
2.48758 -0.461077 1.92704 -1.25422 1.44022 -2.02655 0.663992 
2.48801 -0.462703 1.9264 -1.25616 1.44292 -2.0271 0.66652 
2.48843 -0.464339 1.92576 -1.25808 1.44563 -2.02764 0.669045 
2.48884 -0.465984 1.92513 -1.26 1.44836 -2.02817 0.671568 
2.48924 -0.467639 1.92451 -1.2619 1.45109 -2.0287 0.674087 
2.48963 -0.469303 1.9239 -1.26379 1.45383 -2.02921 0.676604 
2.49001 -0.470976 1.92328 -1.26567 1.45657 -2.02971 0.679118 
2.49038 -0.472658 1.92268 -1.26754 1.45933 -2.0302 0.681629 
2.49073 -0.474349 1.92208 -1.26939 1.46209 -2.03067 0.684136 
2.49108 -0.47605 1.92149 -1.27124 1.46486 -2.03114 0.686641 
2.49142 -0.477759 1.9209 -1.27308 1.46765 -2.0316 0.689142 
2.49175 -0.479478 1.92032 -1.2749 1.47043 -2.03205 0.69164 
2.49208 -0.481205 1.91975 -1.27671 1.47323 -2.03248 0.694134 
2.49239 -0.482941 1.91918 -1.27852 1.47603 -2.03291 0.696626 
2.49269 -0.484687 1.91862 -1.28031 1.47884 -2.03333 0.699113 
2.49298 -0.486441 1.91806 -1.28209 1.48166 -2.03373 0.701597 
2.49327 -0.488204 1.91751 -1.28386 1.48449 -2.03413 0.704077 
2.49354 -0.489975 1.91696 -1.28562 1.48732 -2.03452 0.706554 
2.49381 -0.491756 1.91642 -1.28737 1.49016 -2.03489 0.709027 
2.49406 -0.493545 1.91589 -1.28911 1.49301 -2.03526 0.711496 
2.49431 -0.495342 1.91536 -1.29084 1.49586 -2.03561 0.713961 
2.49455 -0.497148 1.91484 -1.29255 1.49872 -2.03596 0.716422 
2.49479 -0.498963 1.91432 -1.29426 1.50159 -2.0363 0.718878 
2.49501 -0.500786 1.91381 -1.29596 1.50446 -2.03662 0.721331 
2.49522 -0.502618 1.9133 -1.29764 1.50734 -2.03694 0.72378 
2.49543 -0.504458 1.9128 -1.29931 1.51023 -2.03725 0.726224 
2.49563 -0.506306 1.9123 -1.30098 1.51312 -2.03754 0.728664 
2.49582 -0.508163 1.91181 -1.30263 1.51602 -2.03783 0.7311 
2.496 -0.510028 1.91133 -1.30427 1.51892 -2.03811 0.733531 
2.49617 -0.511901 1.91085 -1.30591 1.52183 -2.03838 0.735957 
2.49634 -0.513782 1.91037 -1.30753 1.52475 -2.03864 0.738379 
2.4965 -0.515671 1.9099 -1.30914 1.52767 -2.03889 0.740796 
2.49665 -0.517569 1.90944 -1.31074 1.53059 -2.03913 0.743209 
